Flow Duration,Flow Bytes/s,Fwd Packets/s,DDoS_Predicted,Ground_Label
196861,544343,224,0,0
197144,514152,228,0,0
142230,784138,373,0,0
143922,774711,320,0,0
142755,771125,329,0,0
124970,775178,248,0,0
142117,733790,331,0,0
142224,733111,316,0,0
143176,738336,335,0,0
142472,782638,330,0,0
185687,577132,253,0,0
142746,771090,294,0,0
185922,576371,247,0,0
143435,767428,342,0,0
186578,543365,257,0,0
190175,563576,258,0,0
142210,784038,309,0,0
142963,780076,350,0,0
142878,780498,336,0,0
190109,571430,247,0,0
143397,797785,342,0,0
250001,190567,76,0,0
188539,560765,239,0,0
142469,782697,337,0,0
23598,2400288,1102,0,0
142921,739695,343,0,0
142553,751819,309,0,0
142823,740161,336,0,0
143432,777483,342,0,0
153205,1418479,450,0,0
118987,376058,185,0,0
143445,747227,335,0,0
24781,2226464,1009,0,0
142625,771744,316,0,0
144147,773502,326,0,0
312417,157130,77,0,0
197560,542387,223,0,0
207397,516777,231,0,0
144045,754028,333,0,0
201971,501924,233,0,0
188080,562101,229,0,0
142377,752790,323,0,0
196656,522862,224,0,0
141942,744755,331,0,0
142878,780498,350,0,0
125846,792794,238,0,0
119881,397411,167,0,0
23547,2405232,1062,0,0
142554,741515,330,0,0
142702,720410,308,0,0
142790,770894,315,0,0
142342,732461,288,0,0
142780,740384,329,0,0
142852,780598,343,0,0
142799,760650,343,0,0
142500,741881,344,0,0
459291,239652,100,0,0
196158,524220,235,0,0
143476,767250,342,0,0
118873,388600,193,0,0
23773,2503849,1094,0,0
142438,772799,316,0,0
152273,1427239,447,0,0
142918,780154,336,0,0
142342,763092,337,0,0
196159,546261,235,0,0
188391,576641,244,0,0
141887,745001,303,0,0
142743,781278,350,0,0
143077,789589,335,0,0
145825,684176,199,0,0
142301,742834,309,0,0
143379,777813,349,0,0
394746,271501,122,0,0
62079,21038,129,0,0
122255,401538,180,0,0
142443,721847,330,0,0
23501,2409089,1021,0,0
143365,767761,335,0,0
142825,770705,329,0,0
119793,409790,192,0,0
142885,790566,322,0,0
23422,2356246,1067,0,0
142724,730627,301,0,0
143161,789000,328,0,0
196340,545849,250,0,0
118573,377371,177,0,0
189314,566139,254,0,0
142909,729555,280,0,0
144762,690236,290,0,0
142378,742474,316,0,0
24067,2292018,956,0,0
119537,398554,167,0,0
142424,772875,344,0,0
142848,760431,343,0,0
23488,2410507,937,0,0
131864,735561,303,0,0
142592,741360,309,0,0
143358,737399,300,0,0
142675,781609,343,0,0
142797,740338,329,0,0
142740,771122,329,0,0
142247,743116,295,0,0
195966,517304,240,0,0
186390,575052,274,0,0
143354,737461,335,0,0
142817,699427,273,0,0
142734,781328,364,0,0
127932,757230,211,0,0
187229,580156,246,0,0
142653,781729,343,0,0
38668,13370,103,0,0
143726,735552,341,0,0
122712,790518,342,0,0
234766,444178,187,0,0
142541,782385,358,0,0
146679,720580,293,0,0
143835,714694,285,0,0
119714,410061,159,0,0
142820,730136,329,0,0
189539,565467,253,0,0
142826,770658,322,0,0
23822,2559315,965,0,0
187835,570597,256,0,0
142291,732724,302,0,0
143701,755750,327,0,0
196404,516181,244,0,0
142241,702428,302,0,0
224404,490526,196,0,0
143577,756319,299,0,0
267407,812866,280,0,0
149954,714833,333,0,0
190688,562028,246,0,0
118946,400535,177,0,0
23623,2458959,1185,0,0
148237,752201,324,0,0
142601,781804,316,0,0
190581,562375,252,0,0
144000,774333,313,0,0
142239,743158,302,0,0
143462,777279,342,0,0
186148,575703,258,0,0
142726,740706,343,0,0
141542,726230,311,0,0
109618,408199,192,0,0
188543,568454,260,0,0
141771,735665,332,0,0
216108,515964,222,0,0
198167,518906,222,0,0
129383,749666,325,0,0
123065,788153,325,0,0
141527,746939,318,0,0
142160,784398,331,0,0
197510,513321,248,0,0
143658,735817,327,0,0
197458,513426,243,0,0
187013,573137,262,0,0
142868,729891,301,0,0
153015,311355,144,0,0
82618,191072,145,0,0
143452,797479,335,0,0
24058,2534625,1122,0,0
198395,510971,227,0,0
118945,376191,160,0,0
142273,722667,330,0,0
142936,739534,329,0,0
142803,740307,343,0,0
187656,571141,256,0,0
143460,736833,307,0,0
23445,2332736,981,0,0
118468,402151,186,0,0
142724,750918,322,0,0
142270,732916,302,0,0
122968,836022,350,0,0
142478,782689,351,0,0
143531,776822,314,0,0
142245,732961,295,0,0
118879,412941,177,0,0
118011,403708,178,0,0
143745,775790,341,0,0
23739,2385779,1053,0,0
23395,2358709,1026,0,0
142170,713104,317,0,0
143016,739120,329,0,0
35739,14466,112,0,0
313728,318014,92,0,0
118733,413449,185,0,0
23638,2620992,1142,0,0
143395,727041,279,0,0
188834,567451,238,0,0
143901,734616,334,0,0
142310,742745,323,0,0
142471,742032,344,0,0
143392,737224,335,0,0
142776,730277,301,0,0
189269,566242,259,0,0
142761,771093,329,0,0
142255,743116,330,0,0
188499,568523,244,0,0
118899,412871,185,0,0
186555,574415,247,0,0
196173,516697,229,0,0
143040,769589,336,0,0
126748,787152,245,0,0
142635,731041,287,0,0
142665,741107,350,0,0
143050,769493,329,0,0
142709,771332,322,0,0
144905,769663,338,0,0
143357,777932,335,0,0
142858,760419,357,0,0
196534,515839,244,0,0
142928,759879,336,0,0
123402,786195,357,0,0
142731,740638,329,0,0
127510,373633,165,0,0
142497,782543,344,0,0
186963,573258,257,0,0
197861,512350,232,0,0
142760,781059,329,0,0
23498,2471274,1064,0,0
142790,780979,350,0,0
194123,529747,242,0,0
142819,740182,336,0,0
186407,574968,258,0,0
143033,769627,329,0,0
195544,548102,256,0,0
142215,743325,309,0,0
142395,732146,288,0,0
142742,740539,308,0,0
122673,790720,318,0,0
187038,573060,267,0,0
142470,772668,323,0,0
161,0,12422,0,0
2198477,2682,8,1,0
49,755102,40816,0,0
50486,0,20,0,0
51273,0,20,0,0
50722,0,20,0,0
50641,0,20,0,0
51022,0,20,0,0
51245,0,20,0,0
50534,0,20,0,0
50884,0,20,0,0
50408,0,20,0,0
83784,0,12,0,0
50905,0,20,0,0
46728,0,21,0,0
50833,0,20,0,0
50448,0,20,0,0
116606690,82,0,1,0
91190,1053,11,0,0
84776,1132,12,0,0
3,17700000,666667,1,0
22,29500000,590909,1,0
313,945687,6390,0,0
253,837945,7905,0,0
188,1127660,10638,0,0
246,1203252,8130,0,0
260,815385,7692,0,0
275,1076364,7273,0,0
25399,11103,79,0,0
25871,11828,77,0,0
186,1591398,10753,0,0
189,1121693,10582,0,0
61438,3386,33,0,0
61664,4152,32,0,0
290,1020690,6897,0,0
229,925764,8734,0,0
266,1112782,7519,0,0
257,824903,7782,0,0
259,1142857,7722,0,0
199,1065327,10050,0,0
255,831373,7843,0,0
264,1121212,7576,0,0
198,1070707,10101,0,0
399,741855,5013,0,0
24629,8608,81,0,0
320,925000,6250,0,0
262,809160,7634,0,0
60398,5629,33,0,0
250,848000,8000,0,0
309,957929,6472,0,0
271,988930,7380,0,0
324,802469,6173,0,0
322,658385,6211,0,0
468,632479,4274,0,0
332,891566,6024,0,0
335,632836,5970,0,0
242,876033,8264,0,0
301,983389,6645,0,0
3520858,45,1,1,0
4,3000000,500000,0,0
4024829,0,0,1,0
5006404,6,0,1,0
4942446,0,0,1,0
5080229,6,0,1,0
4910442,0,0,1,0
4920527,0,0,1,0
4984505,6,0,1,0
4984564,6,0,1,0
49920,0,20,0,0
49,0,40816,0,0
161,0,12422,0,0
109,0,18349,0,0
242,0,8264,0,0
50075,0,20,0,0
49961,0,20,0,0
50133,0,20,0,0
1804148,3269,9,1,0
48,770833,41667,0,0
63874054,4,0,1,0
4522563,35,1,1,0
1064,22556,2820,0,0
4522242,35,1,1,0
4521670,35,1,1,0
306,39216,3268,0,0
872,27523,3440,0,0
94224,1019,11,0,0
37212,2580,27,0,0
116038005,20,0,1,0
116228748,157,0,1,0
115799649,92,0,1,0
207,1516908,9662,0,0
319,808777,6270,0,0
50937,6164,39,0,0
254,1236220,7874,0,0
50659,5725,39,0,0
285,821053,7018,0,0
255,1137255,7843,0,0
253,1146245,7905,0,0
101128,2492,20,0,0
51047,4466,39,0,0
271374,0,7,0,0
269365,0,11,0,0
263653,0,8,0,0
269882,0,7,0,0
63021198,3,0,1,0
113789,2777,18,0,0
115791754,81,0,1,0
115812212,81,0,1,0
29841695,224,1,1,0
23537,4504,42,0,0
24759,5493,40,0,0
60609,2706,16,0,0
23405,7093,43,0,0
120792,1225,8,0,0
59914,2520,17,0,0
76881,2133,13,0,0
71933,2127,14,0,0
77608,1649,13,0,0
82493,1624,12,0,0
225547,896,4,0,0
63195130,5,0,1,0
60069,2730,17,0,0
23604,4999,42,0,0
23441,6186,43,0,0
48481,3032,21,0,0
71392,4090,14,0,0
63041,2998,16,0,0
136471,1898,7,0,0
458,349345,2183,0,0
47962,3148,21,0,0
23143,5790,43,0,0
23424,9648,43,0,0
49477,3294,20,0,0
123543,2809,8,0,0
48750,3549,21,0,0
122269,1284,8,0,0
98492066,5,0,1,0
23285,9963,43,0,0
23032,5210,43,0,0
49777,4822,20,0,0
110695,1698,9,0,0
47993,3250,21,0,0
83410,1151,12,0,0
23520,5867,43,0,0
23306,9354,43,0,0
23689,4981,42,0,0
6839562,56,0,1,0
23457,4604,43,0,0
25931,9410,39,0,0
60440,1952,17,0,0
46421,3296,22,0,0
46385,4247,22,0,0
60198,2708,17,0,0
92446,2812,11,0,0
23922,7357,42,0,0
23345,8053,43,0,0
23762,7491,42,0,0
60370,1988,17,0,0
16877560,25,0,1,0
30793,4969,32,0,0
50907205,12,0,1,0
76320,1468,13,0,0
60992,2984,16,0,0
48338,2979,21,0,0
5254984,82,0,1,0
23563,4668,42,0,0
48951,3534,20,0,0
139895,2080,7,0,0
50361,3018,20,0,0
95459,1990,10,0,0
28722,3691,35,0,0
23215,4738,43,0,0
23414,7730,43,0,0
31040,5606,32,0,0
23422,7600,43,0,0
54912722,7,0,1,0
2791073,137,1,1,0
23420,5807,43,0,0
70539703,5,0,1,0
23406,7263,43,0,0
70367096,5,0,1,0
23529,8373,43,0,0
86782656,3,0,1,0
23646,8458,42,0,0
23845,7171,42,0,0
64313,3125,16,0,0
168963,616,6,0,0
23634,9816,42,0,0
81910,1709,12,0,0
47543,2566,21,0,0
47785,3369,21,0,0
128956,2032,8,0,0
48326,3021,21,0,0
62867219,6,0,1,0
566,222615,1767,0,0
23461,5882,43,0,0
279986,954,4,0,0
62233,3149,16,0,0
60122,2761,17,0,0
61215,3218,16,0,0
58147679,6,0,1,0
153357,1663,7,0,0
168759,735,6,0,0
9740076,30,0,1,0
153871,1696,6,0,0
46556,3179,21,0,0
60516,2247,17,0,0
76755,2567,13,0,0
48835,3358,20,0,0
405,409877,2469,0,0
491,368635,2037,0,0
109665,1678,9,0,0
25309,6915,40,0,0
50906,2711,20,0,0
163477,924,6,0,0
61496,1886,16,0,0
47682,2139,21,0,0
50483,2536,20,0,0
59986,2201,17,0,0
69489,3008,14,0,0
60216,2126,17,0,0
48175,5148,21,0,0
48180,3383,21,0,0
61544,2519,16,0,0
58876,2904,17,0,0
60270,2638,17,0,0
60287,2637,17,0,0
93196139,3,0,1,0
23574,7678,42,0,0
23589,7037,42,0,0
23753,7704,42,0,0
182832,892,5,0,0
23595,10002,42,0,0
24134,6754,41,0,0
23875,11476,42,0,0
46720,6100,21,0,0
23194,7243,43,0,0
45669072,7,0,1,0
23853,4444,42,0,0
75309,3346,13,0,0
24108,6388,41,0,0
59827,2340,17,0,0
23981,5338,42,0,0
679,243004,1473,0,0
23183,7333,43,0,0
49577793,6,0,1,0
46296,6026,22,0,0
59612,3154,17,0,0
23502,5106,43,0,0
49306,2860,20,0,0
47466,3708,21,0,0
23365,6677,43,0,0
23184,7290,43,0,0
47593,2942,21,0,0
100696,2284,10,0,0
23539,8751,42,0,0
80761879,4,0,1,0
46633606,7,0,1,0
23484,5110,43,0,0
88178949,4,0,1,0
69202,2746,14,0,0
68994,3189,14,0,0
58985,2628,17,0,0
11214353,38,0,1,0
61221,2450,16,0,0
59528,2352,17,0,0
60981,2066,16,0,0
45801809,12,0,1,0
161240,1005,6,0,0
23626,8804,42,0,0
46958,3535,21,0,0
100328,2113,10,0,0
386099,427,3,0,0
23346,12422,43,0,0
23348,4454,43,0,0
47946,5089,21,0,0
85018123,6,0,1,0
23634,6516,42,0,0
62151,2928,16,0,0
50935855,7,0,1,0
49115742,5,0,1,0
46745,8578,21,0,0
71242,2344,14,0,0
51677,4799,19,0,0
48246,2819,21,0,0
48060,3516,21,0,0
108469,1798,9,0,0
59807,2608,17,0,0
47846,3658,21,0,0
34008655,9,0,1,0
99267,1310,10,0,0
39665660,9,0,1,0
82643,2154,12,0,0
48207,4045,21,0,0
23536,7011,42,0,0
75249,2206,13,0,0
23540,5353,42,0,0
60892,2036,16,0,0
60642,2704,16,0,0
70921565,6,0,1,0
148394,1449,7,0,0
46639,3538,21,0,0
50437,3509,20,0,0
23365,8303,43,0,0
77690849,5,0,1,0
47291,2115,21,0,0
101441,1498,10,0,0
50905,3065,20,0,0
11897,15214,84,0,0
253686,1076,4,0,0
493,310345,2028,0,0
61130,4450,16,0,0
68909951,4,0,1,0
88736,2265,11,0,0
60813,1809,16,0,0
23307,7766,43,0,0
48440,2106,21,0,0
48010,2979,21,0,0
50248,2707,20,0,0
50437,2934,20,0,0
23686,12075,42,0,0
100601,1471,10,0,0
50575,2689,20,0,0
59933,2803,17,0,0
23970,6884,42,0,0
83257,2618,12,0,0
46308,4125,22,0,0
559,323792,1789,0,0
528,257576,1894,0,0
4070556,46,1,1,0
117825607,14,0,1,0
6053842,2,0,1,0
6053454,2,0,1,0
46408210,56,0,1,0
67509592,190,0,1,0
117,102564,17094,0,0
5625627,33,1,1,0
18087031,269,1,1,0
161,74534,12422,0,0
20130499,508,1,1,0
186,64516,10753,0,0
4070940,46,1,1,0
4948715,37,1,1,0
117909281,42,0,1,0
109869486,15,0,1,0
117167285,43,0,1,0
117309076,448,0,1,0
115668434,54,0,1,0
117297975,52,0,1,0
6236045,831,1,1,0
4722112,730935,341,1,0
66591027,127,0,1,0
66999539,2535,1,1,0
2303909,2570,5,1,0
2303889,2570,5,1,0
2304023,2569,5,1,0
115121789,702,0,1,0
116519066,107,0,1,0
118879914,169,0,1,0
117750069,107,0,1,0
117647974,107,0,1,0
115587117,31,0,1,0
117138689,54,0,1,0
5939232,130,1,1,0
119952278,50,0,1,0
65730249,32,0,1,0
67518313,77,0,1,0
1321517,3628,5,1,0
6531677,660,1,1,0
587955,20,3,0,0
5945232,723,1,1,0
5899296,861,2,1,0
117996713,51,0,1,0
434298,8552,21,0,0
118643745,47,0,1,0
119658268,47,0,1,0
119885930,87,0,1,0
5702196,942,2,1,0
6099122,1206,2,1,0
117449279,2187,1,1,0
1843066,4155,7,1,0
4403356,1736,2,1,0
923198,1115,10,0,0
115252521,74,0,1,0
65421743,380,0,1,0
2000157,3685,4,1,0
3186365,2403,4,1,0
119377591,58,0,1,0
20660847,266,1,1,0
158,75949,12658,0,0
101523,877,39,0,0
5625902,33,1,1,0
117674139,40,0,1,0
307845,15469,36,0,0
343723,16761,38,0,0
117364502,50,0,1,0
119529286,12,0,1,0
114168519,351,0,1,0
13742485,642,1,1,0
144,83333,13889,0,0
34553867,196,0,1,0
117,102564,17094,0,0
47374,27737,63,0,0
32594,368,61,0,0
619704,2119,5,0,0
865239,14,2,0,0
3373903,4,1,1,0
306836,4279,10,0,0
263099,4994,11,0,0
454056,26,4,0,0
468718,26,4,0,0
327374,37,6,0,0
752039,1746,4,0,0
1415449,8,1,1,0
282078,4658,11,0,0
112543,107,18,0,0
358901,3661,8,0,0
126941,95,16,0,0
240540,5454,12,0,0
327216,37,6,0,0
2214462,4805,5,1,0
206408,58,10,0,0
1578813,1034,4,1,0
123,97561,16260,0,0
116872014,55,0,1,0
2999951,2032,2,1,0
1154468,10,2,1,0
991465,1891,6,0,0
506755,24,4,0,0
715532,2697,8,0,0
1082446,17,3,1,0
118069042,48,0,1,0
68173668,93,0,1,0
302882,40,10,0,0
32292318,173,0,1,0
248,262097,12097,0,0
6504592,598,1,1,0
6504461,598,1,1,0
6505375,598,1,1,0
117262713,45,0,1,0
110806680,212,0,1,0
110807246,97,0,1,0
116862964,111,0,1,0
119073459,165,0,1,0
117629689,54,0,1,0
117331277,104,0,1,0
116910699,35,0,1,0
116910348,34,0,1,0
116106548,48,0,1,0
61017,6064,66,0,0
214,953271,9346,0,0
23896,12052,84,0,0
93260,5104,43,0,0
170,1341176,11765,0,0
121266,2837,33,0,0
46741,8215,86,0,0
173,1202312,11561,0,0
66411,7770,60,0,0
171,1239766,11696,0,0
224,1437500,8929,0,0
77270,4788,52,0,0
176,1272727,11364,0,0
180,1000000,11111,0,0
225951,1947,18,0,0
72357,4754,55,0,0
199,1025126,10050,0,0
82814,3864,48,0,0
78141,4530,51,0,0
204,1588235,9804,0,0
173,1109827,11561,0,0
173,1179191,11561,0,0
60451,6121,66,0,0
24304,15800,165,0,0
55936,8867,72,0,0
23839,10319,84,0,0
249,1301205,8032,0,0
49135,6146,41,0,0
212,2396226,9434,0,0
824,334951,2427,0,0
23380,8383,86,0,0
23530,9520,85,0,0
48452,5325,41,0,0
137005,4058,29,0,0
63472,6964,63,0,0
204,1843137,9804,0,0
315,711111,6349,0,0
321,1009346,6231,0,0
172,1046512,11628,0,0
158,1569620,12658,0,0
170,1058824,11765,0,0
154,1116883,12987,0,0
157,1095541,12739,0,0
83892,2456,48,0,0
159,930818,12579,0,0
71918,8704,56,0,0
242,1685950,8264,0,0
157,1095541,12739,0,0
49834,5659,40,0,0
61843,13583,65,0,0
114237,2784,35,0,0
23930,20476,84,0,0
124128,5881,32,0,0
122752,2639,33,0,0
176,1090909,11364,0,0
50255,8676,40,0,0
163,1055215,12270,0,0
173,1641618,11561,0,0
214,1551402,9346,0,0
60555,8257,66,0,0
166,1036145,12048,0,0
236,2677966,8475,0,0
155,1109677,12903,0,0
111152,3653,36,0,0
151,1165563,13245,0,0
24671,17835,162,0,0
48737,5006,41,0,0
181,1569061,11050,0,0
189,1460317,10582,0,0
164,1170732,12195,0,0
217,1364055,9217,0,0
216,1462963,9259,0,0
23768,7405,84,0,0
96309,5441,42,0,0
148,1702703,13514,0,0
23833,7217,84,0,0
199,964824,10050,0,0
53723,7036,74,0,0
46794,7138,85,0,0
231,692641,8658,0,0
24564,11887,81,0,0
24080,15199,83,0,0
48336,4551,41,0,0
227,1427313,8811,0,0
160,1100000,12500,0,0
24832,22552,161,0,0
95623,5815,42,0,0
140392,4530,28,0,0
23910,9703,84,0,0
95912,4170,42,0,0
198,1979798,10101,0,0
206,776699,9709,0,0
92919,6091,43,0,0
245,1812245,8163,0,0
206,1223301,9709,0,0
158,1392405,12658,0,0
23752,17767,84,0,0
61423,6740,65,0,0
189,1714286,10582,0,0
278,1107914,7194,0,0
67118,6615,60,0,0
48242,14510,83,0,0
24204,5784,83,0,0
224,1285714,8929,0,0
31470,11821,127,0,0
23832,13343,84,0,0
76685,3312,52,0,0
46475,19623,86,0,0
70478,9138,57,0,0
23830,14268,84,0,0
343,1107872,5831,0,0
96724,3474,41,0,0
23791,9583,84,0,0
181,1922652,11050,0,0
185,1243243,10811,0,0
298,469799,6711,0,0
61497,7187,65,0,0
60797,6744,66,0,0
198,2202020,10101,0,0
24352,14044,82,0,0
180,1733333,11111,0,0
25076,22492,160,0,0
155,1522581,12903,0,0
44984,13872,89,0,0
50736,5125,39,0,0
23585,8989,85,0,0
175,1645714,11429,0,0
210,1009524,9524,0,0
23880,12144,84,0,0
49490,7921,81,0,0
25200,25397,159,0,0
178,966292,11236,0,0
282,1815603,7092,0,0
26301,16881,76,0,0
71279,7969,56,0,0
23794,13365,84,0,0
23729,13991,84,0,0
24057,12720,83,0,0
23939,7352,84,0,0
23899,11130,84,0,0
199,2371859,10050,0,0
60609,5973,66,0,0
48421,7104,41,0,0
204,823529,9804,0,0
7143447,92,1,1,0
23945,12278,84,0,0
196,1275510,10204,0,0
64780,6947,62,0,0
165,1090909,12121,0,0
25271,15512,158,0,0
233,1218884,8584,0,0
169,1230769,11834,0,0
197,1543147,10152,0,0
166,1060241,12048,0,0
24054,14551,83,0,0
169336,1358,24,0,0
24651,17849,162,0,0
25274,33236,158,0,0
48208,5767,41,0,0
68397,7252,58,0,0
170,1082353,11765,0,0
178,921348,11236,0,0
24027,14817,83,0,0
24233,12297,83,0,0
47947,5673,83,0,0
129508,4247,31,0,0
176,1647727,11364,0,0
27976,23163,143,0,0
82417,3616,49,0,0
239,1841004,8368,0,0
129976,2339,31,0,0
186,1118280,10753,0,0
181570,2478,22,0,0
1052,307985,1901,0,0
23957,9684,83,0,0
393,824427,5089,0,0
48389,6158,41,0,0
266,1218045,7519,0,0
169148,1714,24,0,0
20070326,27,0,1,0
60949,4824,66,0,0
77126,5757,52,0,0
213,2084507,9390,0,0
252,1880952,7937,0,0
153909,3431,26,0,0
61604,7207,65,0,0
280468,2011,14,0,0
24959,35578,160,0,0
47015,6849,85,0,0
262,1236641,7634,0,0
77141,5756,52,0,0
53112,8586,75,0,0
163010,3239,25,0,0
227,916300,8811,0,0
246,1804878,8130,0,0
154362,3537,26,0,0
195,2276923,10256,0,0
60520,6213,66,0,0
86705,5121,46,0,0
65911,10560,61,0,0
171,1216374,11696,0,0
174,1195402,11494,0,0
200,2220000,10000,0,0
161989,3259,25,0,0
188,1191489,10638,0,0
51337,6233,78,0,0
167,1245509,11976,0,0
100367,3627,40,0,0
1102,294011,1815,0,0
49235,7515,81,0,0
177,1220339,11299,0,0
110185,3485,36,0,0
186,1096774,10753,0,0
832,346154,2404,0,0
48605,12221,82,0,0
70075,6564,57,0,0
48587,5804,41,0,0
51018,7292,78,0,0
174,1218391,11494,0,0
109187,5202,37,0,0
24439,15713,164,0,0
341,1208211,5865,0,0
61912,5233,65,0,0
60590,4786,66,0,0
349,538682,5731,0,0
170,941176,11765,0,0
60369,5003,66,0,0
48034,4663,83,0,0
178,1101124,11236,0,0
163861,1965,24,0,0
291,1154639,6873,0,0
61938,5909,65,0,0
24195,13391,83,0,0
59277,6174,67,0,0
198,848485,10101,0,0
141147,3259,28,0,0
23976,12012,83,0,0
60669,5736,66,0,0
227378,1759,18,0,0
179,1184358,11173,0,0
179,938547,11173,0,0
60228,5413,66,0,0
183,1584699,10929,0,0
217,1511521,9217,0,0
164,1170732,12195,0,0
60043,6695,67,0,0
309,2957929,6472,0,0
23981,17847,83,0,0
5795621,116,1,1,0
177,1604520,11299,0,0
182,879121,10989,0,0
6425550,156,1,1,0
160,1200000,12500,0,0
47333,11113,42,0,0
61493,7318,65,0,0
23708,15185,84,0,0
219706,1211,18,0,0
205,1131707,9756,0,0
216,2092593,9259,0,0
51264,7686,78,0,0
25264,13300,158,0,0
214,1177570,9346,0,0
220,2363636,9091,0,0
46838,12469,85,0,0
85702,4317,47,0,0
199,804020,10050,0,0
207,1603865,9662,0,0
23777,19346,84,0,0
171,1099415,11696,0,0
352,875000,5682,0,0
183278,1910,22,0,0
167,1269461,11976,0,0
24376,20676,82,0,0
193,1844560,10363,0,0
255,2164706,7843,0,0
23593,12546,85,0,0
190,1389474,10526,0,0
24814,21278,161,0,0
38654,41393,103,0,0
24545,11489,81,0,0
238,1899160,8403,0,0
51511,3572,39,0,0
25202,23173,159,0,0
24611,26167,163,0,0
169,1491124,11834,0,0
75706,8005,53,0,0
185,908108,10811,0,0
1060,269811,1887,0,0
28979,25398,138,0,0
196,1653061,10204,0,0
49924,6330,80,0,0
183,1071038,10929,0,0
208,1557692,9615,0,0
184,1565217,10870,0,0
248,1306452,8065,0,0
185,1989189,10811,0,0
46770,7654,86,0,0
190,1705263,10526,0,0
152,1289474,13158,0,0
47829,7903,84,0,0
23968,15354,83,0,0
23881,8207,84,0,0
196,1102041,10204,0,0
101294,4995,39,0,0
173,1364162,11561,0,0
23761,11279,84,0,0
23567,12475,85,0,0
47988,4918,42,0,0
59808,5685,67,0,0
165,1187879,12121,0,0
69668,5856,57,0,0
